variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_2,col_path_3,col_path_4,col_path_5,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
apps_and_websites_off_of_facebook/your_activity_off_meta_technologies.json,"{'off_facebook_activity_v2': [{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,your_activity_off_meta_technologies.json,off_facebook_activity_v2,name,Missing,Missing,Missing,Missing,string,"{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}",string,Missing,Missing,Missing
apps_and_websites_off_of_facebook/your_activity_off_meta_technologies.json,"{'off_facebook_activity_v2': [{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,your_activity_off_meta_technologies.json,off_facebook_activity_v2,events,id,Missing,Missing,Missing,number,"{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}","{'id': 'number', 'type': 'string', 'timestamp': 'number'}",number,Missing,Missing
apps_and_websites_off_of_facebook/your_activity_off_meta_technologies.json,"{'off_facebook_activity_v2': [{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,your_activity_off_meta_technologies.json,off_facebook_activity_v2,events,type,Missing,Missing,Missing,string,"{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}","{'id': 'number', 'type': 'string', 'timestamp': 'number'}",string,Missing,Missing
apps_and_websites_off_of_facebook/your_activity_off_meta_technologies.json,"{'off_facebook_activity_v2': [{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,your_activity_off_meta_technologies.json,off_facebook_activity_v2,events,timestamp,Missing,Missing,Missing,number,"{'name': 'string', 'events': [{'id': 'number', 'type': 'string', 'timestamp': 'number'}]}","{'id': 'number', 'type': 'string', 'timestamp': 'number'}",number,Missing,Missing
apps_and_websites_off_of_facebook/permissions_you_have_granted_to_apps.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,permissions_you_have_granted_to_apps.json,media,Missing,Missing,Missing,Missing,Missing,array,array,Missing,Missing,Missing,Missing
apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,connected_apps_and_websites.json,installed_apps_v2,name,Missing,Missing,Missing,Missing,string,"{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}",string,Missing,Missing,Missing
apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,connected_apps_and_websites.json,installed_apps_v2,added_timestamp,Missing,Missing,Missing,Missing,number,"{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}",number,Missing,Missing,Missing
apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,connected_apps_and_websites.json,installed_apps_v2,user_app_scoped_id,Missing,Missing,Missing,Missing,number,"{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}",number,Missing,Missing,Missing
apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,connected_apps_and_websites.json,installed_apps_v2,category,Missing,Missing,Missing,Missing,string,"{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}",string,Missing,Missing,Missing
apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,Missing,Missing,Missing,connected_apps_and_websites.json,installed_apps_v2,removed_timestamp,Missing,Missing,Missing,Missing,number,"{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}",number,Missing,Missing,Missing
