json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path
message_1.json,title,['title'],nan,"[""title""]",static,string,your_activity_across_facebook/messages/inbox/username/message_1.json
message_1.json,is_still_participant,['is_still_participant'],nan,"[""is_still_participant""]",static,boolean,your_activity_across_facebook/messages/inbox/username/message_1.json
message_1.json,thread_path,['thread_path'],nan,"[""thread_path""]",static,string,your_activity_across_facebook/messages/inbox/username/message_1.json
message_1.json,magic_words,['magic_words'],nan,"[""magic_words""]",static,array,your_activity_across_facebook/messages/inbox/username/message_1.json
message_1.json,title,['title'],nan,"[""title""]",static,string,your_activity_across_facebook/messages/archived_threads/username/message_1.json
message_1.json,is_still_participant,['is_still_participant'],nan,"[""is_still_participant""]",static,boolean,your_activity_across_facebook/messages/archived_threads/username/message_1.json
message_1.json,thread_path,['thread_path'],nan,"[""thread_path""]",static,string,your_activity_across_facebook/messages/archived_threads/username/message_1.json
message_1.json,magic_words,['magic_words'],nan,"[""magic_words""]",static,array,your_activity_across_facebook/messages/archived_threads/username/message_1.json
message_1.json,title,['title'],nan,"[""title""]",static,string,your_activity_across_facebook/messages/filtered_threads/username/message_1.json
message_1.json,is_still_participant,['is_still_participant'],nan,"[""is_still_participant""]",static,boolean,your_activity_across_facebook/messages/filtered_threads/username/message_1.json
message_1.json,thread_path,['thread_path'],nan,"[""thread_path""]",static,string,your_activity_across_facebook/messages/filtered_threads/username/message_1.json
message_1.json,magic_words,['magic_words'],nan,"[""magic_words""]",static,array,your_activity_across_facebook/messages/filtered_threads/username/message_1.json
0.json,name,['name'],nan,"[""name""]",static,string,your_activity_across_facebook/posts/album/0.json
0.json,last_modified_timestamp,['last_modified_timestamp'],nan,"[""last_modified_timestamp""]",static,number,your_activity_across_facebook/posts/album/0.json
0.json,description,['description'],nan,"[""description""]",static,string,your_activity_across_facebook/posts/album/0.json
1.json,name,['name'],nan,"[""name""]",static,string,your_activity_across_facebook/posts/album/1.json
1.json,last_modified_timestamp,['last_modified_timestamp'],nan,"[""last_modified_timestamp""]",static,number,your_activity_across_facebook/posts/album/1.json
1.json,description,['description'],nan,"[""description""]",static,string,your_activity_across_facebook/posts/album/1.json
2.json,name,['name'],nan,"[""name""]",static,string,your_activity_across_facebook/posts/album/2.json
2.json,last_modified_timestamp,['last_modified_timestamp'],nan,"[""last_modified_timestamp""]",static,number,your_activity_across_facebook/posts/album/2.json
2.json,description,['description'],nan,"[""description""]",static,string,your_activity_across_facebook/posts/album/2.json
3.json,name,['name'],nan,"[""name""]",static,string,your_activity_across_facebook/posts/album/3.json
3.json,last_modified_timestamp,['last_modified_timestamp'],nan,"[""last_modified_timestamp""]",static,number,your_activity_across_facebook/posts/album/3.json
3.json,description,['description'],nan,"[""description""]",static,string,your_activity_across_facebook/posts/album/3.json
your_fundraiser_donations_information.json,media,['media'],nan,"[""media""]",static,array,your_activity_across_facebook/fundraisers/your_fundraiser_donations_information.json
your_recently_followed_history.json,media,['media'],nan,"[""media""]",static,array,your_activity_across_facebook/other_activity/your_recently_followed_history.json
bookmark_and_app_settings.json,timestamp,['timestamp'],nan,"[""timestamp""]",static,number,your_activity_across_facebook/facebook_gaming/bookmark_and_app_settings.json
bookmark_and_app_settings.json,media,['media'],nan,"[""media""]",static,array,your_activity_across_facebook/facebook_gaming/bookmark_and_app_settings.json
your_transaction_survey_information.json,media,['media'],nan,"[""media""]",static,array,your_activity_across_facebook/facebook_marketplace/your_transaction_survey_information.json
other_categories_used_to_reach_you.json,bcts,['bcts'],nan,"[""bcts""]",static,string,ads_information/other_categories_used_to_reach_you.json
ad_preferences.json,media,['media'],nan,"[""media""]",static,array,ads_information/ad_preferences.json
your_sampled_locations.json,timestamp,['timestamp'],nan,"[""timestamp""]",static,number,ads_information/your_sampled_locations.json
your_sampled_locations.json,media,['media'],nan,"[""media""]",static,array,ads_information/your_sampled_locations.json
your_recent_reported_conversions.json,media,['media'],nan,"[""media""]",static,array,ads_information/your_recent_reported_conversions.json
meta_ad_library_accounts.json,timestamp,['timestamp'],nan,"[""timestamp""]",static,number,ads_information/meta_ad_library_accounts.json
meta_ad_library_accounts.json,media,['media'],nan,"[""media""]",static,array,ads_information/meta_ad_library_accounts.json
subscription_for_no_ads.json,media,['media'],nan,"[""media""]",static,array,ads_information/subscription_for_no_ads.json
your_activity_off_meta_technologies_settings.json,timestamp,['timestamp'],nan,"[""timestamp""]",static,number,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json
your_activity_off_meta_technologies_settings.json,media,['media'],nan,"[""media""]",static,array,apps_and_websites_off_of_facebook/your_activity_off_meta_technologies_settings.json
reels_preferences.json,media,['media'],nan,"[""media""]",static,array,preferences/preferences/reels_preferences.json
your_story_highlights.json,media,['media'],nan,"[""media""]",static,array,preferences/preferences/your_story_highlights.json
your_inferred_language_preferences_for_videos.json,media,['media'],nan,"[""media""]",static,array,preferences/preferences/your_inferred_language_preferences_for_videos.json
your_watch_settings.json,media,['media'],nan,"[""media""]",static,array,preferences/preferences/your_watch_settings.json
login_alerts_settings.json,media,['media'],nan,"[""media""]",static,array,preferences/preferences/login_alerts_settings.json
your_fundraiser_settings.json,media,['media'],nan,"[""media""]",static,array,preferences/preferences/your_fundraiser_settings.json
your_activity.json,media,['media'],nan,"[""media""]",static,array,preferences/memories/your_activity.json
timezone.json,media,['media'],nan,"[""media""]",static,array,personal_information/profile_information/timezone.json
