variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,data_type,col_path_1_values,col_path_2_values,col_path_3_values,col_path_4_values,col_path_5_values
avatars_store/avatar_items.json,"{'ig_avatar_marketplace_avatar_items': [{'item': 'string', 'type': 'string', 'acquisition_time': 'number'}]}",avatars_store,Missing,Missing,Missing,avatar_items.json,ig_avatar_marketplace_avatar_items,item,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'item': 'string', 'type': 'string', 'acquisition_time': 'number'}",string,Missing,Missing,Missing
avatars_store/avatar_items.json,"{'ig_avatar_marketplace_avatar_items': [{'item': 'string', 'type': 'string', 'acquisition_time': 'number'}]}",avatars_store,Missing,Missing,Missing,avatar_items.json,ig_avatar_marketplace_avatar_items,type,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'item': 'string', 'type': 'string', 'acquisition_time': 'number'}",string,Missing,Missing,Missing
avatars_store/avatar_items.json,"{'ig_avatar_marketplace_avatar_items': [{'item': 'string', 'type': 'string', 'acquisition_time': 'number'}]}",avatars_store,Missing,Missing,Missing,avatar_items.json,ig_avatar_marketplace_avatar_items,acquisition_time,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number,"{'item': 'string', 'type': 'string', 'acquisition_time': 'number'}",number,Missing,Missing,Missing
comments/post_comments_1.json,"{'media_list_data': [{'uri': 'string'}], 'string_map_data': {'Comment': {'value': 'string'}, 'Media Owner': {'value': 'string'}, 'Time': {'timestamp': 'number'}}}",comments,Missing,Missing,Missing,post_comments_1.json,media_list_data,uri,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,{'uri': 'string'},string,Missing,Missing,Missing
comments/post_comments_1.json,"{'media_list_data': [{'uri': 'string'}], 'string_map_data': {'Comment': {'value': 'string'}, 'Media Owner': {'value': 'string'}, 'Time': {'timestamp': 'number'}}}",comments,Missing,Missing,Missing,post_comments_1.json,string_map_data,Comment,NO LIST,value,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string,"{'Comment': {'value': 'string'}, 'Media Owner': {'value': 'string'}, 'Time': {'timestamp': 'number'}}",{'value': 'string'},string,Missing,Missing
comments/post_comments_1.json,"{'media_list_data': [{'uri': 'string'}], 'string_map_data': {'Comment': {'value': 'string'}, 'Media Owner': {'value': 'string'}, 'Time': {'timestamp': 'number'}}}",comments,Missing,Missing,Missing,post_comments_1.json,string_map_data,Media Owner,NO LIST,value,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string,"{'Comment': {'value': 'string'}, 'Media Owner': {'value': 'string'}, 'Time': {'timestamp': 'number'}}",{'value': 'string'},string,Missing,Missing
comments/post_comments_1.json,"{'media_list_data': [{'uri': 'string'}], 'string_map_data': {'Comment': {'value': 'string'}, 'Media Owner': {'value': 'string'}, 'Time': {'timestamp': 'number'}}}",comments,Missing,Missing,Missing,post_comments_1.json,string_map_data,Time,NO LIST,timestamp,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,number,"{'Comment': {'value': 'string'}, 'Media Owner': {'value': 'string'}, 'Time': {'timestamp': 'number'}}",{'timestamp': 'number'},number,Missing,Missing
content/profile_photos.json,"{'ig_profile_picture': [{'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'camera_metadata': {'has_camera_metadata': 'boolean'}}, 'title': 'string', 'cross_post_source': {'source_app': 'string'}, 'backup_uri': 'string'}]}",content,Missing,Missing,Missing,profile_photos.json,ig_profile_picture,uri,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string,"{'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'camera_metadata': {'has_camera_metadata': 'boolean'}}, 'title': 'string', 'cross_post_source': {'source_app': 'string'}, 'backup_uri': 'string'}",string,Missing,Missing,Missing
content/profile_photos.json,"{'ig_profile_picture': [{'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'camera_metadata': {'has_camera_metadata': 'boolean'}}, 'title': 'string', 'cross_post_source': {'source_app': 'string'}, 'backup_uri': 'string'}]}",content,Missing,Missing,Missing,profile_photos.json,ig_profile_picture,creation_timestamp,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number,"{'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'camera_metadata': {'has_camera_metadata': 'boolean'}}, 'title': 'string', 'cross_post_source': {'source_app': 'string'}, 'backup_uri': 'string'}",number,Missing,Missing,Missing
content/profile_photos.json,"{'ig_profile_picture': [{'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'camera_metadata': {'has_camera_metadata': 'boolean'}}, 'title': 'string', 'cross_post_source': {'source_app': 'string'}, 'backup_uri': 'string'}]}",content,Missing,Missing,Missing,profile_photos.json,ig_profile_picture,media_metadata,LIST,camera_metadata,NO LIST,has_camera_metadata,NO LIST,Missing,NO LIST,Missing,MISSING,boolean,"{'uri': 'string', 'creation_timestamp': 'number', 'media_metadata': {'camera_metadata': {'has_camera_metadata': 'boolean'}}, 'title': 'string', 'cross_post_source': {'source_app': 'string'}, 'backup_uri': 'string'}",{'camera_metadata': {'has_camera_metadata': 'boolean'}},{'has_camera_metadata': 'boolean'},boolean,Missing
